,t,u,t,u,t,u,t,u,t,u,t,u,t,u,t,u,K,M0,Md,TIME_P
LL,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12,0,0
p1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200
d1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
p2,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,250
d2,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
p3,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
d3,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,2,0,0,3
p4,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,150
d4,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,2,0,0,3
p5,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,2,0,0,700
d5,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,2,0,0,3
p6,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,150
d6,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,2,0,0,3
p7,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,0,0,0
d7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,0,0,3
p8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,290
LL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,12,0
R1,0,-1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0,2,2,2,0
R2,0,0,0,0,0,-1,1,-1,1,-1,1,-1,1,0,0,0,2,2,2,0
k,0,0,0,0,-1,1,0,0,0,0,0,0,-1,1,0,0,2,2,2,0
