,actions,transition,time
0,0,u1,2
1,1,t1,7
2,2,u2,19
3,3,t2,24
4,4,u3,36
5,5,t3,41
6,0,u1,43
7,1,t1,48
8,2,u2,60
9,3,t2,65
10,4,u3,77
11,5,t3,82
12,6,u4,2833
13,7,t4,2838
14,6,u4,2874
15,7,t4,2879
16,8,u5,2881
17,9,t5,2886
18,10,u6,2992
19,11,t6,2997
20,12,u7,3009
21,8,u5,3011
22,9,t5,3016
23,10,u6,3122
24,11,t6,3127
25,13,t7,3129
26,12,u7,3139
27,13,t7,3144
28,0,u1,3146
29,1,t1,3151
30,2,u2,3163
31,3,t2,3168
32,4,u3,3180
33,5,t3,3185
34,0,u1,3187
35,1,t1,3192
36,2,u2,3204
37,3,t2,3209
38,4,u3,3221
39,5,t3,3226
40,0,u1,3228
41,1,t1,3233
42,2,u2,3245
43,3,t2,3250
44,4,u3,3262
45,5,t3,3267
46,6,u4,5977
47,7,t4,5982
48,6,u4,6018
49,7,t4,6023
50,6,u4,6059
51,8,u5,6061
52,7,t4,6064
53,9,t5,6066
54,10,u6,6172
55,11,t6,6177
56,12,u7,6189
57,8,u5,6191
58,9,t5,6196
59,10,u6,6302
60,11,t6,6307
61,13,t7,6309
62,12,u7,6319
63,8,u5,6321
64,9,t5,6326
65,10,u6,6432
66,11,t6,6437
67,13,t7,6439
68,12,u7,6449
69,13,t7,6454
70,0,u1,6456
71,1,t1,6461
72,2,u2,6473
73,3,t2,6478
74,4,u3,6490
75,5,t3,6495
76,0,u1,6497
77,1,t1,6502
78,2,u2,6514
79,3,t2,6519
80,4,u3,6531
81,5,t3,6536
82,6,u4,9287
83,7,t4,9292
84,6,u4,9328
85,7,t4,9333
86,8,u5,9335
87,9,t5,9340
88,10,u6,9446
89,11,t6,9451
90,12,u7,9463
91,8,u5,9465
92,9,t5,9470
93,10,u6,9576
94,11,t6,9581
95,13,t7,9583
96,12,u7,9593
97,13,t7,9598
98,0,u1,9600
99,1,t1,9605
100,2,u2,9617
101,3,t2,9622
102,4,u3,9634
103,5,t3,9639
104,0,u1,9641
105,1,t1,9646
106,2,u2,9658
107,3,t2,9663
108,4,u3,9675
109,5,t3,9680
110,6,u4,12431
111,7,t4,12436
112,6,u4,12472
113,7,t4,12477
114,8,u5,12479
115,9,t5,12484
116,10,u6,12590
117,11,t6,12595
118,12,u7,12607
119,8,u5,12609
120,9,t5,12614
121,10,u6,12720
122,11,t6,12725
123,13,t7,12727
124,12,u7,12737
125,13,t7,12742
126,0,u1,12744
127,1,t1,12749
128,2,u2,12761
129,3,t2,12766
130,4,u3,12778
131,5,t3,12783
132,0,u1,12785
133,1,t1,12790
134,2,u2,12802
135,3,t2,12807
136,4,u3,12819
137,5,t3,12824
138,6,u4,15575
139,7,t4,15580
140,6,u4,15616
141,7,t4,15621
142,8,u5,15623
143,9,t5,15628
144,10,u6,15734
145,11,t6,15739
146,12,u7,15751
147,8,u5,15753
148,9,t5,15758
149,10,u6,15864
150,11,t6,15869
151,13,t7,15871
152,12,u7,15881
153,13,t7,15886
154,0,u1,15888
155,1,t1,15893
156,2,u2,15905
157,3,t2,15910
158,4,u3,15922
159,5,t3,15927
160,0,u1,15929
161,1,t1,15934
162,2,u2,15946
163,3,t2,15951
164,4,u3,15963
165,5,t3,15968
166,6,u4,18719
167,7,t4,18724
168,6,u4,18760
169,7,t4,18765
170,8,u5,18767
171,9,t5,18772
172,10,u6,18878
173,11,t6,18883
174,12,u7,18895
175,8,u5,18897
176,9,t5,18902
177,10,u6,19008
178,11,t6,19013
179,13,t7,19015
180,12,u7,19025
181,13,t7,19030
