,time,actions
0,2,0
1,7,1
2,19,2
3,24,3
4,36,4
5,41,5
6,43,0
7,48,1
8,60,2
9,65,3
10,77,4
11,82,5
12,84,0
13,89,1
14,101,2
15,106,3
16,118,4
17,123,5
18,2833,6
19,2838,7
20,2850,8
21,2855,9
22,2961,10
23,2966,11
24,2978,12
25,2983,13
26,2985,0
27,2990,1
28,3002,2
29,3007,3
30,3019,4
31,3024,5
32,3026,6
33,3031,7
34,3043,8
35,3048,9
36,3154,10
37,3159,11
38,3171,12
39,3176,13
40,3178,0
41,3183,1
42,3195,2
43,3200,3
44,3212,4
45,3217,5
46,3219,6
47,3224,7
48,3236,8
49,3241,9
50,3347,10
51,3352,11
52,3364,12
53,3369,13
54,3371,0
55,3376,1
56,3388,2
57,3393,3
58,3405,4
59,3410,5
60,5816,6
61,5821,7
62,5833,8
63,5838,9
64,5944,10
65,5949,11
66,5961,12
67,5966,13
68,5968,0
69,5973,1
70,5985,2
71,5990,3
72,6002,4
73,6007,5
74,6009,6
75,6014,7
76,6026,8
77,6031,9
78,6137,10
79,6142,11
80,6154,12
81,6159,13
82,6161,0
83,6166,1
84,6178,2
85,6183,3
86,6195,4
87,6200,5
88,6202,6
89,6207,7
90,6219,8
91,6224,9
92,6330,10
93,6335,11
94,6347,12
95,6352,13
96,6354,0
97,6359,1
98,6371,2
99,6376,3
100,6388,4
101,6393,5
102,8799,6
103,8804,7
104,8816,8
105,8821,9
106,8927,10
107,8932,11
108,8944,12
109,8949,13
110,8951,0
111,8956,1
112,8968,2
113,8973,3
114,8985,4
115,8990,5
116,8992,6
117,8997,7
118,9009,8
119,9014,9
120,9120,10
121,9125,11
122,9137,12
123,9142,13
124,9144,0
125,9149,1
126,9161,2
127,9166,3
128,9178,4
129,9183,5
130,9185,6
131,9190,7
132,9202,8
133,9207,9
134,9313,10
135,9318,11
136,9330,12
137,9335,13
138,9337,0
139,9342,1
140,9354,2
141,9359,3
142,9371,4
143,9376,5
144,11782,6
145,11787,7
146,11799,8
147,11804,9
148,11910,10
149,11915,11
150,11927,12
151,11932,13
152,11934,0
153,11939,1
154,11951,2
155,11956,3
156,11968,4
157,11973,5
158,11975,6
159,11980,7
160,11992,8
161,11997,9
162,12103,10
163,12108,11
164,12120,12
165,12125,13
166,12168,6
167,12173,7
168,12185,8
169,12190,9
170,12296,10
171,12301,11
172,12313,12
173,12318,13
174,14765,6
175,14770,7
176,14782,8
177,14787,9
178,14893,10
179,14898,11
180,14910,12
181,14915,13
