Detailed cProfile Report (Turbo ON)
================================================================================

         14078576 function calls (13692668 primitive calls) in 9.900 seconds

   Ordered by: cumulative time
   List reduced from 904 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1005    0.016    0.000    7.555    0.008 D:\anaconda\Lib\site-packages\torch\utils\_contextlib.py:117(decorate_context)
        6    0.000    0.000    7.543    1.257 D:\anaconda\Lib\site-packages\torchrl\collectors\collectors.py:341(__iter__)
        6    0.000    0.000    7.543    1.257 D:\anaconda\Lib\site-packages\torchrl\collectors\collectors.py:1216(iterator)
        6    0.000    0.000    7.539    1.256 D:\anaconda\Lib\site-packages\torchrl\_utils.py:399(unpack_rref_and_invoke_function)
        5    0.027    0.005    7.525    1.505 D:\anaconda\Lib\site-packages\torchrl\collectors\collectors.py:1445(rollout)
     3200    0.018    0.000    5.155    0.002 D:\anaconda\Lib\site-packages\torchrl\envs\common.py:3626(step_and_maybe_reset)
18010/6905    0.067    0.000    3.252    0.000 D:\anaconda\Lib\site-packages\tensordict\nn\common.py:265(wrapper)
37350/3705    0.049    0.000    3.041    0.001 D:\anaconda\Lib\site-packages\torch\nn\modules\module.py:1769(_wrapped_call_impl)
37350/3705    0.079    0.000    3.035    0.001 D:\anaconda\Lib\site-packages\torch\nn\modules\module.py:1777(_call_impl)
     3200    0.016    0.000    2.689    0.001 D:\anaconda\Lib\site-packages\torchrl\envs\common.py:2056(step)
30144/13280    0.034    0.000    2.260    0.000 D:\anaconda\Lib\site-packages\torchrl\envs\common.py:92(wrapper)
     3200    0.026    0.000    1.940    0.001 D:\anaconda\Lib\site-packages\torchrl\envs\transforms\transforms.py:1194(_step)
14305/4205    0.050    0.000    1.898    0.000 D:\anaconda\Lib\site-packages\tensordict\nn\utils.py:353(wrapper)
     3200    0.006    0.000    1.811    0.001 D:\anaconda\Lib\site-packages\torchrl\envs\common.py:3495(_step_mdp)
     3200    0.066    0.000    1.804    0.001 D:\anaconda\Lib\site-packages\torchrl\envs\utils.py:87(__init__)
     3200    0.014    0.000    1.665    0.001 D:\anaconda\Lib\site-packages\tensordict\nn\probabilistic.py:1332(forward)
      500    0.003    0.000    1.219    0.002 D:\anaconda\Lib\site-packages\torch\nn\modules\module.py:1789(inner)
      500    0.003    0.000    1.214    0.002 D:\anaconda\Lib\site-packages\torchrl\objectives\common.py:47(new_forward)
      500    0.043    0.000    1.192    0.002 D:\anaconda\Lib\site-packages\torchrl\objectives\ppo.py:1220(forward)
     9600    0.051    0.000    1.069    0.000 D:\anaconda\Lib\site-packages\torchrl\envs\utils.py:198(_repr_key_list_as_tree)
   108310    0.074    0.000    1.024    0.000 D:\anaconda\Lib\site-packages\tensordict\base.py:6571(set)
     3200    0.031    0.000    0.907    0.000 D:\anaconda\Lib\site-packages\tensordict\nn\probabilistic.py:601(forward)
     3200    0.121    0.000    0.857    0.000 C:\Users\khand\OneDrive\code\dqn\CT\solutions\PPO\enviroment.py:292(_step)
112389/112283    0.074    0.000    0.818    0.000 D:\anaconda\Lib\site-packages\tensordict\_td.py:2483(_set_tuple)
196585/167784    0.127    0.000    0.755    0.000 D:\anaconda\Lib\site-packages\tensordict\_td.py:2422(_set_str)
    23264    0.058    0.000    0.751    0.000 {built-in method builtins.sorted}
     3700    0.016    0.000    0.710    0.000 D:\anaconda\Lib\site-packages\tensordict\nn\probabilistic.py:1081(get_dist_params)
   213632    0.203    0.000    0.693    0.000 D:\anaconda\Lib\site-packages\torchrl\data\tensor_specs.py:6942(__iter__)
     3700    0.012    0.000    0.585    0.000 D:\anaconda\Lib\site-packages\tensordict\nn\sequence.py:608(forward)
    13401    0.094    0.000    0.574    0.000 D:\anaconda\Lib\site-packages\tensordict\_td.py:255(__init__)
